,Company_ID,guid,Employee_Size_Location,Primary_NAICS_Code
155,2933448,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,48811907
156,12004755,eefae509-9be8-47e4-96a6-99c01526c857,8,72251505
157,7979484,3b64760e-43dd-479f-bd3c-a1340187c7c5,1,81219908
158,8974638,35addb54-7822-49da-8c28-3e6747babec3,2,53131111
159,11270806,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
160,12316732,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,1,62133002
161,15367208,8deba40c-e565-4ecf-aa98-00aa59db562d,2,56162204
162,7494594,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,23832003
163,8974721,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,92112007
164,12804705,1b88ec43-3d63-4315-b182-c124b412386a,1,54111002
165,125133,63b20c2a-41c0-4314-979c-1f71adc274ad,11,52211002
166,8768241,3a497b68-28b7-4207-aaa4-90aba4a98019,1,92211001
167,3794385,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,81231001
168,9513922,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,3,62111107
169,7929978,59f59640-f0c5-495e-b3ea-925d387937b3,4,72241001
171,14498153,d5b5fc96-3d28-47b7-8e4d-f22958ed58d4,5,44419018
172,1166831,1c814a0b-a55f-4960-b74c-4e20b1a69c71,2,81221002
173,2382220,27eb6d95-6fae-4f3a-8aa1-6f65f3f55977,1,81211202
174,125181,6d8ec4ad-0858-4281-8088-160dbb0e5773,6,51111003
175,125150,6a5cfdc0-9897-4e72-83c2-295fdaf84330,7,52211002
176,13218286,f29bc7b8-c17b-4f39-81ea-4c9323dc2109,5,33999936
177,3504267,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,81149033
178,125131,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,25,23731010
179,125152,277a4dc7-1f92-4c8d-918b-eda5c181bfb2,40,71311001
180,5422248,4054f4d2-e3a6-4725-806b-a85b31da4ab5,10,72251117
182,10027461,65e66428-99b3-4f66-8e9e-244d11607166,1,42372001
183,3794434,19c13cd0-1183-49a3-bee2-69fd29528e56,10,72251117
184,3794304,4851fde8-07fd-49d1-90eb-359403e819a6,2,54111002
185,12505421,66b6f6a8-a064-47b7-ae5e-1a5814a11f82,2,92112006
186,5504148,7155ee84-cf78-4c50-b087-c7aa10acc5f3,10,72251117
188,11402111,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,1,62139923
189,7251558,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
190,11877626,32525316-9410-474d-8169-b695f89eef87,2,56172001
191,5152785,1c814a0b-a55f-4960-b74c-4e20b1a69c71,3,72251117
192,3250319,27eb6d95-6fae-4f3a-8aa1-6f65f3f55977,9,52213003
193,12393190,af03fc19-ac73-4ea5-9749-a933317cbc84,2,52421001
194,1907047,49cca224-74e9-49ee-ba31-3fed51cc9110,6,72251117
195,9859060,5590ee9d-874c-4470-8491-2d6b5cd4bf65,2,45331001
196,125184,07dc9e64-2b50-4a35-8fbd-df55b712c02e,2,62131002
197,5428229,9e8172fd-8d5a-4d60-b1d2-b9ae69812da5,10,72251117
198,2768508,4a60e0bc-4959-4662-8c63-c88ff06bddc4,1,62139901
199,9859063,08de0e39-7c16-42fa-9bf2-433dc3e0f2b9,5,81331908
200,15103156,6ad984f7-e719-478d-895d-ecbb24bc2013,30,72251115
201,6343143,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,2,71394017
202,8768209,3031b6cf-e349-4d44-b0ca-3f283af75dea,5,45211201
